tag,hex1,Color,,tag2,hex2,Color2
PANEL_FALLBACK,,,,,,
PANEL_FRONT,e32121,,,PANEL_BACK,285c06,
PANEL_LEFT,e8227a,,,PANEL_RIGHT,f84e9a,
PANEL_RIGHT_FRONT,35766,,,PANEL_LEFT_FRONT,1b6e7d,
PANEL_RIGHT_BACK,037aac,,,PANEL_LEFT_BACK,09658c,
PANEL_RIGHT_FRONT_UPPER,2b5f68,,,PANEL_LEFT_FRONT_UPPER,17525c,
PANEL_RIGHT_FRONT_UPPER_OVER,3e6970,,,PANEL_LEFT_FRONT_UPPER_OVER,387a85,
PANEL_RIGHT_FRONT_UPPER_UNDER,215080,,,PANEL_LEFT_FRONT_UPPER_UNDER,14487e,
PANEL_RIGHT_BOTTOM,6c365b,,,PANEL_LEFT_BOTTOM,875577,
PANEL_RIGHT_FRONT_BOTTOM,36646c,,,PANEL_LEFT_FRONT_BOTTOM,165964,
PANEL_RIGHT_FRONT_BOTTOM_OVER,1410d1,,,PANEL_LEFT_FRONT_BOTTOM_OVER,9291c3,
PANEL_RIGHT_FRONT_BOTTOM_UNDER,605ed5,,,PANEL_LEFT_FRONT_BOTTOM_UNDER,767595,
PANEL_FRONT_UPPER,5d7047,,,,,
PANEL_FRONT_MIDDLE,546244,,,PANEL_BACK_MIDDLE,6c6ea5,
PANEL_FRONT_BOTTOM,4f524c,,,,,
PANEL_FRONT_BOTTOM_OVER,1a7453,,,PANEL_FRONT_BOTTOM_UNDER,377c63,
PANEL_BACK_UPPER,8b8cae,,,,,
PANEL_BACK_BOTTOM,707191,,,,,
PANEL_BACK_BOTTOM_OVER,44468c,,,PANEL_BACK_BOTTOM_UNDER,383a76,
PANEL_LEFT_BACK_UPPER_OVER,6c6156,,,PANEL_RIGHT_BACK_UPPER_OVER,635951,
PANEL_LEFT_BACK_UPPER_UNDER,4f603f,,,PANEL_RIGHT_BACK_UPPER_UNDER,616c56,
PANEL_RIGHT_BACK_UPPER,a0727a,,,PANEL_RIGHT_BACK_BOTTOM,9b5965,
PANEL_LEFT_BACK_UPPER,8d666d,,,PANEL_LEFT_BACK_BOTTOM,7b4650,
PANEL_YOKE_BACK,3a8807,,,,,
PANEL_YOKE_LEFT_FRONT,5c4706,,,PANEL_YOKE_RIGHT_FRONT,755b0c,
PANEL_YOKE_LEFT_FRONT_OVER,abbaa2,,,PANEL_YOKE_RIGHT_FRONT_OVER,6f8f5a,
PANEL_YOKE_LEFT_FRONT_UNDER,,,,PANEL_YOKE_RIGHT_FRONT_UNDER,,
PANEL_YOKE_LEFT_BACK,73b87f,,,PANEL_YOKE_RIGHT_BACK,91c49a,
PANEL_YOKE_LEFT_BACK_OVER,458d71,,,PANEL_YOKE_RIGHT_BACK_OVER,2e6c54,
PANEL_GUN_FLAP_LEFT_OVER,5c96a1,,,PANEL_GUN_FLAP_LEFT_UNDER,45828d,
PANEL_GUN_FLAP_RIGHT_OVER,1b0549,,,PANEL_GUN_FLAP_RIGHT_UNDER,270768,
PANEL_NECKLINE_LEFT_FRONT,05b9ae,,,,,
PANEL_NECKLINE_RIGHT_FRONT,1cefe2,,,,,
PANEL_ARMHOLE_RIGHT_FRONT,02716a,,,PANEL_ARMHOLE_RIGHT_BACK,685c19,
PANEL_ARMHOLE_LEFT_FRONT,05514c,,,PANEL_ARMHOLE_LEFT_BACK,5c4f06,
PANEL,dd820b,,,,,
PANEL_OVER,56796b,,,PANEL_UNDER,3b6857,
PANEL_LEFT_FRONT_OVER,9057ad,,,PANEL_RIGHT_FRONT_OVER,794a92,
PANEL_LEFT_FRONT_UNDER,9f68bc,,,PANEL_RIGHT_FRONT_UNDER,ab72c9,
PANEL_LEFT_BACK_OVER,564a92,,,PANEL_RIGHT_BACK_OVER,675aac,
PANEL_LEFT_BACK_UNDER,503160,,,PANEL_RIGHT_BACK_UNDER,422153,
PANEL_FRONT_UNDER,c3f1b8,,,PANEL_BACK_UNDER,a6d99a,
PANEL_FRONT_OVER,bde078,,,PANEL_BACK_OVER,aed267,
PANEL_BOTTOM,34272a,,,,,
PANEL_BOTTOM_OVER,0f3445,,,PANEL_BOTTOM_UNDER,20495c,
PANEL_RIGHT_OVER,65497b,,,PANEL_LEFT_OVER,7c6c88,
PANEL_RIGHT_UNDER,4c4968,,,PANEL_LEFT_UNDER,3d3b52,
PANEL_SIDE_SEAM_RIGHT_FRONT,6b7679,,,PANEL_SIDE_SEAM_LEFT_FRONT,798f8b,
PANEL_RIGHT_MIDDLE_FRONT,5a6a6e,,,PANEL_LEFT_MIDDLE_FRONT,4f6460,
PANEL_RIGHT_UPPER,8039b2,,,PANEL_LEFT_UPPER,946bb0,
,,,,,,
,,,,,,
PANEL_BOW,588496,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
PANEL_WAISTBAND_OVER,628e9c,,,PANEL_WAISTBAND_UNDER,4f7b89,
PANEL_WAISTBAND_RIGHT_OVER,4f8959,,,PANEL_WAISTBAND_LEFT_OVER,3c5840,
PANEL_WAISTBAND,315fbc,,,,,
PANEL_WAISTBAND_FRONT_OVER,7899a4,,,PANEL_WAISTBAND_FRONT_UNDER,4b6f7a,
PANEL_WAISTBAND_BACK_OVER,4b7a69,,,PANEL_WAISTBAND_BACK_UNDER,34745d,
PANEL_WAISTBAND_LEFT_FRONT_OVER,3d6f30,,,PANEL_WAISTBAND_RIGHT_FRONT_OVER,28591b,
PANEL_WAISTBAND_LEFT_FRONT_UNDER,2d4427,,,PANEL_WAISTBAND_RIGHT_FRONT_UNDER,3e6833,
PANEL_WAISTBAND_LEFT_BACK_OVER,38305e,,,PANEL_WAISTBAND_RIGHT_BACK_OVER,453d69,
PANEL_WAISTBAND_LEFT_BACK_UNDER,686380,,,PANEL_WAISTBAND_RIGHT_BACK_UNDER,6e6696,
PANEL_WAISTBELT_OVER,423a20,,,PANEL_WAISTBELT_UNDER,514829,
,,,,,,
PANEL_TIER01_FRONT_OVER,e96694,,,PANEL_TIER01_BACK_OVER,d15297,
PANEL_TIER02_FRONT_OVER,d45e87,,,PANEL_TIER02_BACK_OVER,ad5987,
PANEL_TIER03_FRONT_OVER,bc5479,,,PANEL_TIER03_BACK_OVER,,
PANEL_TIER04_FRONT_OVER,,,,PANEL_TIER04_BACK_OVER,,
PANEL_TIER05_FRONT_OVER,,,,PANEL_TIER05_BACK_OVER,,
PANEL_TIER05_FRONT_OVER,,,,PANEL_TIER06_BACK_OVER,,
PANEL_TIER07_FRONT_OVER,,,,PANEL_TIER07_BACK_OVER,,
PANEL_TIER08_FRONT_OVER,,,,PANEL_TIER08_BACK_OVER,,
,,,,,,
PANEL_RIGHT_MIDDLE,3a7ae4,,,PANEL_LEFT_MIDDLE,2868d2,
PANEL_RIGHT_BOTTOM_OVER,6985b4,,,,,
PANEL_RIGHT_BOTTOM_UNDER,5e79a6,,,,,
PANEL_LEFT_BACK_BOTTOM_OVER,a1afbb,,,,,
PANEL_LEFT_BACK_BOTTOM_UNDER,8794a0,,,,,
,,,,,,
PANEL_PLACKET_RIGHT_OVER,2bb7d0,,,PANEL_PLACKET_LEFT_OVER,30e7a4,
PANEL_PLACKET_RIGHT_UNDER,38d0ec,,,PANEL_PLACKET_LEFT_UNDER,1dcf8e,
PANEL_PLACKET_RIGHT,,,,PANEL_PLACKET_LEFT,,
,,,,,,
PANEL_RUFFLE_FRONT,4e2b0d,,,PANEL_RUFFLE_BACK,613610,
PANEL_POCKET_FRONT,346537,,,,,
PANEL_POCKET_FLAP_RIGHT_FRONT,15781e,,,PANEL_POCKET_FLAP_LEFT_FRONT,158520,
PANEL_POCKET_FLAP_RIGHT_BACK,855c9a,,,PANEL_POCKET_FLAP_LEFT_BACK,9f75b4,
PANEL_POCKET_FLAP_RIGHT_BACK_OVER,529947,,,PANEL_POCKET_FLAP_LEFT_BACK_OVER,adf3a1,
PANEL_POCKET_FLAP_RIGHT_BACK_UNDER,49893f,,,PANEL_POCKET_FLAP_LEFT_BACK_UNDER,79d769,
PANEL_POCKET_LEFT_FRONT,8a4b13,,,PANEL_POCKET_RIGHT_FRONT,753d0c,
PANEL_POCKET_RIGHT_FRONT_UPPER,5d5045,,,PANEL_POCKET_LEFT_FRONT_UPPER,60554c,
PANEL_POCKET_RIGHT_FRONT_BOTTOM,4f3d2e,,,PANEL_POCKET_LEFT_FRONT_BOTTOM,675546,
PANEL_POCKET_FLAP_LEFT_FRONT_OVER,a37f5f,,,PANEL_POCKET_FLAP_RIGHT_FRONT_OVER,ba8352,
PANEL_POCKET_FLAP_LEFT_FRONT_UNDER,c09670,,,PANEL_POCKET_FLAP_RIGHT_FRONT_UNDER,553d28,
PANEL_POCKET_LEFT_BACK,338279,,,PANEL_POCKET_RIGHT_BACK,49948c,
PANEL_WATCH_POCKET_FRONT_RIGHT_OVER,0e6b6e,,,,,
PANEL_POCKET_FLAP_RIGHT_FRONT_UPPER,,,,PANEL_POCKET_FLAP_LEFT_FRONT_UPPER,2a241e,
PANEL_POCKET_FLAP_RIGHT_BACK_UPPER,1341ea,,,PANEL_POCKET_FLAP_LEFT_BACK_UPPER,9b3cf4,
PANEL_POCKET_FLAP_RIGHT_BACK_BOTTOM,3c63f4,,,PANEL_POCKET_FLAP_LEFT_BACK_BOTTOM,8129d3,
PANEL_POCKET_FLAP_RIGHT_FRONT_UPPER_OVER,22a68f,,,PANEL_POCKET_FLAP_LEFT_FRONT_UPPER_OVER,3c848c,
PANEL_POCKET_FLAP_RIGHT_FRONT_UPPER_UNDER,268d99,,,PANEL_POCKET_FLAP_LEFT_FRONT_UPPER_UNDER,266168,
PANEL_POCKET_FLAP_RIGHT_FRONT_BOTTOM_OVER,456c1f,,,PANEL_POCKET_FLAP_RIGHT_FRONT_BOTTOM_UNDER,5e7845,
PANEL_POCKET_FLAP_LEFT_FRONT_BOTTOM_OVER,777235,,,PANEL_POCKET_FLAP_LEFT_FRONT_BOTTOM_UNDER,575433,
,,,,,,
PANEL_FLY_RIGHT_FRONT_OVER,8fe1f0,,,PANEL_FLY_RIGHT_FRONT_UNDER,38d0eb,
,,,,,,
PANEL_BELT_LOOP_SIDE_RIGHT_FRONT ,ed0c4c,,,PANEL_BELT_LOOP_SIDE_RIGHT_BACK,ed4f7c,
PANEL_BELT_LOOP_SIDE_LEFT_FRONT ,b00e3c,,,PANEL_BELT_LOOP_SIDE_LEFT_BACK,a84c66,
PANEL_BELT_LOOP_SIDE_RIGHT_FRONT_OVER,9117d0,,,PANEL_BELT_LOOP_SIDE_LEFT_FRONT_OVER,751aa4,
PANEL_BELT_LOOP_SIDE_RIGHT_FRONT_UNDER,a735e3,,,PANEL_BELT_LOOP_SIDE_LEFT_FRONT_UNDER,62148b,
PANEL_BELT_LOOP_SIDE_RIGHT_BACK_OVER,691366,,,PANEL_BELT_LOOP_SIDE_LEFT_BACK_OVER,8b1487,
PANEL_BELT_LOOP_SIDE_RIGHT_BACK_UNDER,461844,,,PANEL_BELT_LOOP_SIDE_LEFT_BACK_UNDER,a4209f,
PANEL_BELT_LOOP_CENTER_RIGHT_FRONT ,d60943,,,,,
PANEL_BELT_LOOP_CENTER_LEFT_FRONT ,c40b3f,,,,,
,,,,,,
PANEL_BELT_LOOP_CENTER_BACK,92173a,,,,,
,,,,,,
PANEL_SIDE_POCKET_FRONT_LEFT,984a60,,,PANEL_SIDE_POCKET_FRONT_RIGHT,9e3f77,
PANEL_SIDE_POCKET_LINNING_FRONT_LEFT_OVER ,b85a75,,,PANEL_SIDE_POCKET_LINNING_FRONT_LEFT_UNDER,85394f,
PANEL_SIDE_POCKET_LINNING_FRONT_RIGHT_OVER ,853966,,,PANEL_SIDE_POCKET_LINNING_FRONT_RIGHT_UNDER,87265f,
,,,,,,
PANEL_LEFT_CROTCH_FRONT_UNDER,3dac1f,,,PANEL_RIGHT_CROTCH_FRONT_UNDER,34881e,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
PANEL_LEFT_BACK_MIDDLE_OVER,8db873,,,PANEL_RIGHT_MIDDLE_BACK_OVER,61a23a,
PANEL_LEFT_MIDDLE_BACK_UNDER,7ba462,,,PANEL_RIGHT_MIDDLE_BACK_UNDER,569630,
,,,,,,
PANEL_EPAULETTES_LEFT,124b1b,,,PANEL_EPAULETTES_RIGHT,175c23,
PANEL_EPAULETTES_LEFT_OVER,94885f,,,PANEL_EPAULETTES_RIGHT_OVER,9d805b,
PANEL_EPAULETTES_LEFT_UNDER,9d8d5b,,,PANEL_EPAULETTES_RIGHT_UNDER,796a56,
PANEL_HOOD_RIGHT,845b27,,,PANEL_HOOD_LEFT,87663c,
PANEL_HOOD_RIGHT_OVER,15a430,,,PANEL_HOOD_LEFT_OVER,2b750e,
PANEL_HOOD_RIGHT_UNDER,1a6b4d,,,PANEL_HOOD_LEFT_UNDER,346855,
PANEL_HOOD_CENTER,54360f,,,,,
,,,,,,
PANEL_FLAP_CENTER_FRONT_RIGHT_OVER,5d7c08,,,PANEL_FLAP_CENTER_FRONT_RIGHT_UNDER,5f6945,
PANEL_FLAP_CENTER_FRONT_LEFT_OVER,,,,PANEL_FLAP_CENTER_FRONT_LEFT_UNDER,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
PANEL_CENTER_RIGHT_FRONT,40a4b6,,,PANEL_CENTER_LEFT_FRONT,57929d,
PANEL_CENTER_RIGHT_BACK,981d8b,,,PANEL_CENTER_LEFT_BACK,ac039a,
PANEL_CENTER_FRONT_UPPER,3f423c,,,,,
PANEL_CENTER_FRONT_UPPER_OVER,1d5b65,,,PANEL_CENTER_FRONT_UPPER_UNDER,486a70,
PANEL_CENTER_RIGHT_FRONT_UPPER,8c5858,,,PANEL_CENTER_LEFT_FRONT_UPPER,ad5f5f,
PANEL_CENTER_BACK_UPPER,ac374c,,,,,
PANEL_CENTER_LEFT_BACK_UPPER,5052a3,,,PANEL_CENTER_RIGHT_BACK_UPPER,42448e,
,,,,,,
PANEL_CENTER_BACK,385b69,,,PANEL_CENTER_FRONT,,
PANEL_CENTER_BACK_BOTTOM,6e70ca,,,,,
,,,,,,
,,,,,,
PANEL_CENTER_RIGHT_FRONT_OVER,924a8e,,,PANEL_CENTER_LEFT_FRONT_OVER,7b4978,
PANEL_CENTER_RIGHT_FRONT_UNDER,524e7b,,,PANEL_CENTER_LEFT_FRONT_UNDER,3d3a5f,
PANEL_CENTER_FRONT_OVER,496294,,,PANEL_CENTER_FRONT_UNDER,3d5484,
PANEL_CENTER_BACK_OVER,284173,,,PANEL_CENTER_BACK_UNDER,243963,
,,,,,,
,,,,,,
,,,,,,
SLEEVE_UNDER_RIGHT,a96246,,,,,
SLEEVE_UPPER_RIGHT,965338,,,,,
SLEEVE_UPPER_RIGHT_OVER,b23b3b,,,,,
SLEEVE_UPPER_RIGHT_UNDER,71cb97,,,,,
SLEEVE_UNDER_LEFT_OVER,22844c,,,,,
SLEEVE_UNDER_LEFT_UNDER,118579,,,,,
SLEEVE_PLACKET_LEFT,bd7a5a,,,,,
SLEEVE_CUFF_LEFT_OVER,9d5c3d,,,,,
SLEEVE_CUFF_LEFT_UNDER,754a35,,,,,
SLEEVE_CUFF_LEFT,6b5242,,,,,
SLEEVE_RIGHT_UPPER,3c8882,,,,,
SLEEVE_RIGHT_BOTTOM,305f5b,,,,,
SLEEVE_RIGHT_OVER,7820a1,,,,,
