tag,hex1,Color,,tag2,hex2,Color2
SLEEVE_RIGHT_UNDER,9948c0,,,,,
SLEEVE_STRAP_LEFT_OVER,1c322e,,,,,
SLEEVE_STRAP_LEFT_UNDER,1f4b43,,,,,
,,,,,,
SLEEVE_LOOP_LEFT_OVER,3e986d,,,,,
SLEEVE_LOOP_LEFT_UNDER,2a7b54,,,,,
,,,,,,
,,,,,,
STRAP_LEFT_FRONT_OVER,469c91,,,,,
STRAP_LEFT_FRONT_UNDER,6ba39c,,,,,
STRAP_LEFT_FRONT_MIDDLE_OVER,314744,,,,,
STRAP_LEFT_FRONT_BOTTOM_UNDER,4d6864,,,,,
STRAP_LEFT_FRONT,21f1db,,,,,
STRAP_LEFT_BACK_UPPER_OVER,0ecdb9,,,,,
STRAP_LEFT_BACK_MIDDLE_UNDER,05b09e,,,,,
STRAP_LEFT_BACK_MIDDLE_OVER,59485,,,,,
STRAP_LEFT_BACK_BOTTOM_UNDER,077a6e,,,,,
STRAP_LEFT_BACK_BOTTOM_OVER,035d53,,,,,
,,,,,,
,,,,,,
STRAP_RIGHT_UNDER,203d9b,,,,,
STRAP_LEFT_UNDER,6ba39c,,,,,
,,,,,,
NECK_FALLBACK,,,,,,
NECK_STAND,58569d,,,,,
NECK_STAND_OVER,a808f2,,,,,
NECK_STAND_UNDER,7f05b8,,,,,
NECK_STAND_RIGHT_OVER,2e941a,,,NECK_STAND_LEFT_OVER,557022,
NECK_STAND_RIGHT_UNDER,2f7022,,,NECK_STAND_LEFT_UNDER,5f723a,
NECK_BAND_OVER,590680,,,,,
NECK_BAND_UNDER,3c0357,,,,,
NECK_BAND_FRONT,909637,,,NECK_BAND_BACK,6c7031,
NECK_BAND_FRONT_OVER,7b938b,,,NECK_BAND_FRONT_UNDER,667c74,
NECK_BAND_BACK_OVER,85867f,,,NECK_BAND_BACK_UNDER,61644b,
NECK_BAND_RIGHT_OVER,629b92,,,NECK_BAND_LEFT_OVER,20423d,
NECK_BAND_RIGHT_UNDER,1a9481,,,NECK_BAND_LEFT_UNDER,1c4942,
,,,,,,
FINISHING_FACING_FALLBACK,,,,,,
FINISHING_FACING_ARMHOLE_RIGHT_FRONT_UNDER,f06262,,,FINISHING_FACING_ARMHOLE_RIGHT_FRONT_OVER,d3aa05,
FINISHING_FACING_ARMHOLE_LEFT_FRONT_UNDER,aa0b0b,,,FINISHING_FACING_ARMHOLE_LEFT_FRONT_OVER,ac8b07,
FINISHING_FACING_ARMHOLE_LEFT_UNDER,0a9159,,,,,
FINISHING_FACING_ARMHOLE_RIGHT_UNDER,3e7f64,,,,,
FINISHING_FACING_FRONT_UNDER,3c3737,,,FINISHING_FACING_BACK_UNDER,504b4b,
FINISHING_FACING_LEFT_UNDER,75887c,,,FINISHING_FACING_RIGHT_UNDER,5b7a66,
FINISHING_FACING_NECKLINE_FRONT_UNDER,eb0c9f,,,FINISHING_FACING_NECKLINE_FRONT_OVER,980f69,
FINISHING_FACING_NECKLINE_BACK_UNDER,59dd01,,,FINISHING_FACING_NECKLINE_BACK_OVER,6f084c,
FINISHING_FACING_MIDDLE_FRONT_UNDER,1a1c18,,,,,
FINISHING_FACING_NECKLINE_UNDER,6d5de3,,,,,
FINISHING_FACING_NECKLINE_RIGHT_FRONT_OVER,856f5e,,,FINISHING_FACING_NECKLINE_RIGHT_FRONT_UNDER,85402d,
FINISHING_FACING_NECKLINE_LEFT_FRONT_OVER,736457,,,FINISHING_FACING_NECKLINE_LEFT_FRONT_UNDER,ae6b59,
FINISHING_FACING_NECKLINE_RIGHT_BACK_UNDER,f3b4c0,,,,,
FINISHING_FACING_NECKLINE_LEFT_BACK_UNDER,e09daa,,,,,
FINISHING_FACING_ARMHOLE_LEFT_BACK_UNDER,44940e,,,FINISHING_FACING_ARMHOLE_LEFT_BACK_OVER,4f6d3b,
FINISHING_FACING_ARMHOLE_RIGHT_BACK_UNDER,9ff864,,,FINISHING_FACING_ARMHOLE_RIGHT_BACK_OVER,48573e,
FINISHING_FACING_BACK_OVER,54036c,,,,,
FINISHING_FACING_SLEEVE_LEFT_UNDER,a4cbc1,,,FINISHING_FACING_SLEEVE_RIGHT_UNDER,80baac,
,,,,,,
FINISHING_FACING_CENTER_BACK_RIGHT_UNDER,5176df,,,FINISHING_FACING_CENTER_FRONT_RIGHT_UNDER,577de7,
FINISHING_FACING_CENTER_BACK_LEFT_UNDER,405ba9,,,FINISHING_FACING_CENTER_FRONT_LEFT_UNDER,3453ac,
FINISHING_FACING_WAIST_UNDER,d4c77d,,,,,
FINISHING_FACING_WAIST_FRONT_UNDER,cbefd8,,,FINISHING_FACING_WAIST_BACK_UNDER,a7cbb4,
FINISHING_FACING_WAIST_LEFT_BACK_UNDER,a29968,,,FINISHING_FACING_WAIST_RIGHT_BACK_UNDER,8c8458,
,,,,,,
FINISHING_FACING_POCKET_LEFT_FRONT_UNDER,de812f,,,FINISHING_FACING_POCKET_RIGHT_FRONT_UNDER,d1721e,
FINISHING_FACING_POCKET_LEFT_BACK_UNDER,33825a,,,FINISHING_FACING_POCKET_RIGHT_BACK_UNDER,2d714e,
FINISHING_FACING_WATCH_POCKET_FRONT_RIGHT_UNDER,258c90,,,,,
,,,,,,
FINISHING_FACING_YOKE_LEFT_BACK_OVER,536324,,,FINISHING_FACING_YOKE_RIGHT_BACK_OVER,4d5d1c,
,,,,,,
FINISHING_FACING_HOOD_LEFT_UNDER,4c71b4,,,FINISHING_FACING_HOOD_RIGHT_UNDER,4676ce,
FINISHING_FACING_HOOD_CENTER_UNDER,40557c,,,,,
FINISHING_FACING_LEFT_SIDE_FRONT_UNDER,554b48,,,,,
,,,,,,
FINISHING_FACING_ARMHOLE_RIGHT,031f57,,,FINISHING_FACING_ARMHOLE_LEFT,0c2049,
,,,,,,
HEMMING,,,,,,
,,,,,,
FINISHING_HEMMING_FALLBACK,,,,,,
FINISHING_HEMMING_RIGHT_FRONT_UNDER,c935f3,,,FINISHING_HEMMING_RIGHT_FRONT_OVER,8411a4,
FINISHING_HEMMING_LEFT_FRONT_UNDER,8d0cb2,,,FINISHING_HEMMING_LEFT_FRONT_OVER,740b92,
FINISHING_HEMMING_UNDER,214f02,,,FINISHING_HEMMING_OVER,1b3808,
FINISHING_HEMMING_FRONT_UNDER,770c96,,,FINISHING_HEMMING_FRONT_OVER,fcbc71,
FINISHING_HEMMING_LEFT_BACK_UNDER,f3ba1f,,,FINISHING_HEMMING_LEFT_BACK_OVER,c89e2d,
FINISHING_HEMMING_RIGHT_BACK_UNDER,a87d07,,,FINISHING_HEMMING_RIGHT_BACK_OVER,7a5c0a,
,,,,,,
FINISHING_HEMMING_BACK_UNDER,55086b,,,FINISHING_HEMMING_BACK_OVER,eda653,
FINISHING_HEMMING_SLEEVE_RIGHT_UNDER,c873c1,,,FINISHING_HEMMING_SLEEVE_RIGHT_OVER,42ac81,
FINISHING_HEMMING_SLEEVE_LEFT_UNDER,a15c9b,,,FINISHING_HEMMING_SLEEVE_LEFT_OVER,569a7e,
FINISHING_HEMMING_RIGHT_UNDER,546160,,,FINISHING_HEMMING_LEFT_UNDER,384a48,
FINISHING_HEMMING_RIGHT_OVER,465a37,,,FINISHING_HEMMING_LEFT_OVER,3a482e,
FINISHING_HEMMING_TIER01_UNDER,828445,,,,,
FINISHING_HEMMING_TIER02_UNDER,696b3c,,,,,
FINISHING_HEMMING_TIER03_UNDER,545531,,,,,
FINISHING_HEMMING_TIER04_UNDER,,,,,,
FINISHING_HEMMING_TIER05_UNDER,,,,,,
FINISHING_HEMMING_TIER06_UNDER,,,,,,
FINISHING_HEMMING_TIER07_UNDER,,,,,,
FINISHING_HEMMING_TIER08_UNDER,,,,,,
,,,,,,
FINISHING_HEMMING_LEFT_SIDE_FRONT_UNDER,9a5eab,,,,,
FINISHING_HEMMING_LEFT_SIDE_BACK_UNDER,69741c,,,FINISHING_HEMMING_RIGHT_SIDE_BACK_UNDER,5b6517,
FINISHING_HEMMING_SIDE_SEAM_LEFT_FRONT_UNDER,084e6b,,,FINISHING_HEMMING_SIDE_SEAM_RIGHT_FRONT_UNDER,085d80,
FINISHING_HEMMING_SIDE_SEAM_LEFT_BACK_UNDER,175772,,,FINISHING_HEMMING_SIDE_SEAM_RIGHT_BACK_UNDER,35677c,
FINISHING_HEMMING_RUFFLE_UNDER,3d6522,,,,,
,,,,,,
FINISHING_HEMMING_INNER_SEAM_LEFT_UNDER,8d6b0c,,,FINISHING_HEMMING_INNER_SEAM_RIGHT_UNDER,785c10,
,,,,,,
,,,,,,
PIPING,,,,,,
TAG NAME ,HEX code,,,TAG NAME ,HEX code,
FINISHING_PIPING_FALLBACK,,,,,,
FINISHING_PIPING_ARMHOLE_RIGHT_BACK,796eb3,,,FINISHING_PIPING_ARMHOLE_LEFT_BACK,4d4283,
FINISHING_PIPING_HEMLINE,c01b65,,,,,
FINISHING_PIPING_HEMLINE_RIGHT,227050,,,FINISHING_PIPING_HEMLINE_LEFT,386c57,
FINISHING_PIPING_CENTER_FRONT_LEFT,f010a9,,,FINISHING_PIPING_CENTER_FRONT_RIGHT,d41898,
FINISHING_PIPING_YOKE,8c4776,,,,,
FINISHING_PIPING_SLEEVE_LEFT,702c5a,,,FINISHING_PIPING_SLEEVE_RIGHT,5c284b,
FINISHING_PIPING_NECK_STAND,680d4b,,,,,
FINISHING_PIPING_SIDE_POCKET_RIGHT,685a0d,,,FINISHING_PIPING_SIDE_POCKET_LEFT,706422,
FINISHING_PIPING_NECKLINE,0008b1,,,,,
,,,,,,
,,,,,,
TRIM_B,08707c,,,TRIM_FALLBACK,,
TRIM_BCL,a5b441,,,TRIM_B_FALLBACK,,
TRIM_BCL_LEFT_FRONT,7fb115,,,TRIM_ZT_FALLBACK,,
TRIM_BCL_RIGHT_FRONT,6a8829,,,TRIM_C_FALLBACK,,
TRIM_BS_THREAD,634274,,,TRIM_B_PLACKET_OVER_PLASTIC,b4a209,
TRIM_B_PLACKET,b4a209,,,TRIM_BS_PLACKET_OVER_THREAD,9c8c04,
TRIM_B_SLEEVE_CUFF,3b5c63,,,TRIM_B_WAISTBAND_PLASTIC,0f859b,
TRIM_B_WAISTBAND,0e2d33,,,TRIM_B_PLASTIC,692c88,
TRIM_C,a4ac6b,,,TRIM_BS_THREAD,634274,
TRIM_CE_HOOD_LEFT,43b353,,,TRIM_BS_WAISTBAND_THREAD,12a1bc,
TRIM_CE_HOOD_RIGHT,389244,,,,,
TRIM_CE_WAIST_LEFT,690393,,,TRIM_B_METAL,08707c,
TRIM_CE_WAIST_RIGHT,6d3585,,,TRIM_TS,d7a1f3,
TRIM_C_HOOD_LEFT,197a88,,,TRIM_LS_LEFT_BACK_METAL ,be59f2,
TRIM_C_HOOD_RIGHT,116f7c,,,TRIM_LR_LEFT_BACK_METAL ,7115a1,
TRIM_C_WAIST,9349ba,,,TRIM_ZT_SIDE_SEAM_LEFT_PLASTIC,37636c,
TRIM_FALLBACK,-,,,TRIM_ZT_CENTER_BACK_LEFT_METAL,427580,
TRIM_LR,75b447,,,TRIM_ZT_CENTER_BACK_LEFT,1274b0,
TRIM_LR_LEFT_BACK,7115a1,,,TRIM_ZT_CENTER_FRONT_LEFT_METAL,104d59,
TRIM_LR_RIGHT_BACK,620b90,,,TRIM_ZT_CENTER_FRONT_LEFT_PLASTIC,4b9133,
TRIM_LS,6b974b,,,TRIM_ZT_SIDE_SEAM_LEFT_METAL,80bc84,
TRIM_LS_LEFT_BACK,be59f2,,,TRIM_ZST_TRANSPARENT,c2f1fb,
TRIM_LS_RIGHT_BACK,9c1ede,,,TRIM_ZSL_METAL,8ba6ac,
TRIM_R,530303,,,TRIM_ZP_METAL,6e8387,
TRIM_RH,97944b,,,TRIM_SSBCL_METAL,12454b,
TRIM_RH_HOOD_LEFT,2b4911,,,TRIM_BCL_LEFT_FRONT_METAL,7fb115,
TRIM_RH_HOOD_RIGHT,41572e,,,TRIM_C_WAIST,9349ba,
TRIM_SSBCL,12454b,,,TRIM_C_WAIST_LEFT,977cb0,
TRIM_TS,d7a1f3,,,TRIM_C_PLACKET_OVER,,
TRIM_TS_OVERLOCK,bf5cf2,,,TRIM_C_HOOD_LEFT ,197a88,
TRIM_ZP,6e8387,,,TRIM_CE_HOOD_LEFT_METAL,43b353,
TRIM_ZSL,8ba6ac,,,TRIM_CE_WAIST_LEFT_METAL,690393,
TRIM_ZST,343b3c,,,TRIM_CE_WAIST_LEFT_PLASTIC,9e699d,
TRIM_ZT_LEFT,594926,,,TRIM_RH_HOOD_LEFT_METAL,2b4911,
TRIM_ZT_RIGHT,6d5c36,,,TRIM_R_METAL,530303,
TRIM_ZT_CENTER_BACK_LEFT,1274b0,,,TRIM_RH,,
TRIM_ZT_CENTER_BACK_RIGHT,1f6b99,,,TRIM_LS,,
TRIM_ZT_CENTER_FRONT_LEFT,104d59,,,TRIM_ZST,,
TRIM_ZT_CENTER_FRONT_RIGHT,0c3d46,,,TRIM_BCL,,
TRIM_ZT_SIDE_SEAM_LEFT,37636c,,,,,
TRIM_ZT_SIDE_SEAM_RIGHT,294c53,,,,,
,,,,,,
,,,,TRIM_B_PLACKET_RIGHT_OVER_METAL,ceb907,
,,,,,,
,,,,TRIM_B_WAISTBAND_METAL,0e2d33,
,,,,TRIM_B_SLEEVE_CUFF_METAL,3b5c63,
,,,,TRIM_B_SLEEVE_CUFF_PLASTIC,6e5a78,
,,,,,,
,,,,,,
,,,,TRIM_B_MATTE,895ca0,
,,,,TRIM_TS_OVERLOCK,bf5cf2,
,,,,TRIM_LS_RIGHT_BACK_METAL ,9c1ede,
,,,,TRIM_LR_RIGHT_BACK_METAL,620b90,
,,,,TRIM_ZT_SIDE_SEAM_RIGHT_PLASTIC,294c53,
,,,,TRIM_ZT_CENTER_BACK_RIGHT_METAL,5593a0,
,,,,TRIM_ZT_CENTER_BACK_RIGHT,1f6b99,
,,,,TRIM_ZT_CENTER_FRONT_RIGHT_METAL,0c3d46,
,,,,TRIM_ZT_CENTER_FRONT_RIGHT_PLASTIC,507b42,
,,,,TRIM_ZT_SIDE_SEAM_RIGHT_METAL,6eb874,
,,,,TRIM_ZST_PLASTIC,8fd2e0,
,,,,TRIM_ZSL_PLASTIC,6c7483,
,,,,TRIM_ZP_PLASTIC,8698a3,
,,,,,,
,,,,TRIM_BCL_RIGHT_FRONT_METAL,6a8829,
,,,,,,
,,,,TRIM_C_WAIST_RIGHT,84699e,
,,,,,,
,,,,TRIM_C_HOOD_RIGHT,116f7c,
,,,,TRIM_CE_HOOD_RIGHT_METAL,389244,
,,,,TRIM_CE_WAIST_RIGHT_METAL,6d3585,
,,,,TRIM_CE_WAIST_RIGHT_PLASTIC,8c5b8b,
,,,,TRIM_RH_HOOD_RIGHT_METAL,41572e,
,,,,,,
,,,,TRIM_LR,,
,,,,TRIM_ZSL,,
,,,,TRIM_SSBCL,,
,,,,TRIM_B_PLACKET_OVER_WOODEN,,
,,,,TRIM_ZST_METAL,343b3c,
